route_id,route_long_name,trip_headsign,shape_id,shape_pt_lat,shape_pt_lon
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.934735,-114.069839
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.935022,-114.069814
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.936412,-114.069717
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.936448,-114.069715
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.936613,-114.069707
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.936988,-114.069695
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.937257,-114.069698
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.937556,-114.069706
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.938131,-114.069751
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.938474,-114.069795
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.93872,-114.069834
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.938933,-114.06987
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.943923,-114.070877
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.944529,-114.07102
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.945131,-114.071199
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.945728,-114.071415
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.947759,-114.072218
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.948011,-114.072323
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.948654,-114.0726
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.948907,-114.072703
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.950659,-114.073396
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.951348,-114.073666
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.951952,-114.073885
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.952137,-114.073948
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.952364,-114.07402
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.952561,-114.074074
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.95274,-114.074126
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.953295,-114.074258
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.954253,-114.074454
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.955913,-114.074796
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.955988,-114.074821
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.956071,-114.074856
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.956225,-114.074931
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.956261,-114.074928
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.956435,-114.07492
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.956561,-114.074929
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.956828,-114.074983
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.957037,-114.075031
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.957248,-114.075086
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.958605,-114.075468
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.958842,-114.075526
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.959048,-114.075572
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.961568,-114.07609
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.963331,-114.07645
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.9635,-114.076483
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.964447,-114.076681
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.964634,-114.076719
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.965833,-114.076963
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.966022,-114.076998
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.966302,-114.077044
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.966483,-114.077069
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.966751,-114.0771
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.967098,-114.07713
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.967404,-114.077146
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.967652,-114.077152
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.96799,-114.077151
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.968232,-114.077143
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.968707,-114.077109
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.968855,-114.077093
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.969152,-114.077056
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.969443,-114.077011
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.969726,-114.076958
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.970045,-114.076889
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.970323,-114.07682
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.970576,-114.076752
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.970887,-114.076657
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.971038,-114.076607
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.971471,-114.076458
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.976621,-114.074678
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.976798,-114.074618
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.97682,-114.074611
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.976835,-114.074603
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.977297,-114.074446
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.978436,-114.074049
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.978604,-114.073995
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.978787,-114.073925
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.97893,-114.073863
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.979046,-114.073806
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.97917,-114.073738
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.979316,-114.073652
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.979436,-114.073582
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.979623,-114.073466
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.979754,-114.073388
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.98046,-114.07295
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.980898,-114.072658
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.986261,-114.068963
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.986812,-114.068586
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.988177,-114.067646
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.988356,-114.067528
