,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Green Trips,Green Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,East Gray Trips,East Gray Freq,West Gray Trips,West Gray Freq,Future Brentwood Trips,Future Brentwood Freq,Future Tuscany Trips,Future Tuscany Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
57,Highland Park ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8225,6.7,266400,0,32.389057750759875,0.07059207788308056,0.029091612526803423
58,Highwood  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3140,6.7,266400,0,84.8407643312102,0.07059207788308056,0.07620334809966822
59,Hillhurst,0,0.0,444,6.7,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2825,13.7833,266400,6370,96.55575221238938,0.14522265478893495,0.08672566371681416
60,Hounsfield Heights/Briar Hill,0,0.0,444,6.7,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,260,13.7833,266400,6370,1049.1153846153845,0.14522265478893495,0.9423076923076923
61,Huntington Hills ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1875,6.7,266400,0,142.08,0.07059207788308056,0.12761520695091105
62,Industrial G,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15255,0.0,0,0,0.0,0.0,0.0
63,Industrial T,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,3285,78.4615,0,21125,6.430745814307458,0.8266806446004963,0.005776048408935467
64,Inglewood,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,1835,20.5172,0,8255,4.498637602179836,0.21617190751384183,0.004040643078542581
65,Inglewood  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6790,6.7,266400,0,39.23416789396171,0.07059207788308056,0.03523983991648869
66,Kelvin Grove,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,75,9.75,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,1280,88.2115,0,26000,20.3125,0.9294079221169195,0.018244537522454817
